0.005596	,0.067617	,0.773698	,0.265146	,0.213992	,2.895443	,0.005222	,0.928172	,0.809348	,0.003798	,0.079171	,0.205029	,4.503715	,0.003916	,0.195902	,0.032782	,0.340663	,0.670790	
0.139111	,0.111832	,0.000286	,0.000007	,5.319513	,0.003520	,0.000180	,0.067947	,0.004585	,0.094425	,0.130942	,0.000076	,0.000121	,0.097347	,0.000238	,0.001130	,0.024938	,0.003800	
0.000325	,0.029031	,0.000996	,0.000341	,0.012435	,1.243160	,0.000086	,0.398511	,0.023894	,0.000221	,0.033992	,0.000264	,0.005800	,0.000228	,0.084111	,0.000538	,0.146264	,0.019803	
0.715133	,0.292406	,1.444565	,0.003459	,3.571231	,0.481073	,1.098337	,1.372251	,1.233448	,0.485412	,0.342374	,0.382808	,0.058751	,0.065353	,0.032549	,6.894915	,0.503651	,1.022286	
0.000960	,0.137384	,0.000049	,0.000017	,0.036699	,0.060930	,0.000037	,1.885867	,0.010421	,0.000651	,0.160861	,0.000013	,0.000284	,0.000672	,0.004122	,0.000235	,0.692161	,0.008637	
0.024216	,0.283849	,0.016513	,0.005457	,0.926000	,1.365962	,0.012555	,3.896383	,3.502265	,0.016437	,0.332355	,0.004376	,0.092687	,0.016946	,0.092419	,0.078818	,1.430071	,2.902690	
6.238438	,0.032550	,0.000528	,0.000002	,1.548307	,0.001025	,0.000401	,0.019777	,0.001335	,8.992892	,0.080940	,0.000297	,0.000075	,0.060174	,0.000147	,0.005349	,0.015415	,0.002349	
0.001149	,2.514870	,0.000008	,0.000001	,0.043920	,0.003228	,0.000006	,0.099896	,0.000552	,0.001656	,6.253594	,0.000004	,0.000032	,0.001707	,0.000464	,0.000077	,0.077866	,0.000972	
0.042559	,0.017402	,9.684248	,0.023188	,0.257043	,0.253216	,0.065364	,0.081665	,0.073404	,0.061350	,0.043271	,5.450170	,0.836462	,0.009990	,0.036384	,0.871426	,0.063655	,0.129203	
0.002086	,0.025200	,0.288346	,0.098816	,0.079752	,1.079089	,0.001946	,0.345916	,0.301632	,0.003006	,0.062663	,0.162277	,3.564621	,0.003099	,0.155054	,0.025946	,0.269629	,0.530920	
0.195726	,0.157345	,0.000403	,0.000010	,7.484427	,0.004953	,0.000253	,0.095600	,0.006451	,0.282145	,0.391262	,0.000227	,0.000363	,0.290876	,0.000712	,0.003376	,0.074517	,0.011355	
0.000699	,0.062372	,0.002141	,0.000734	,0.026715	,2.670873	,0.000184	,0.856183	,0.051335	,0.001007	,0.155098	,0.001205	,0.026465	,0.001038	,0.383776	,0.002454	,0.667364	,0.090357	
